SerialId,Date,SongTitle,durationSec,viewCount,likeCount,dislikeCount,commentCount,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct
1,31 / 10 / 2020,"Bewafai Full Song | Rochak Kohli Feat.Sachet Tandon, Manoj M | Mr. Faisu, Musskan S & Aadil K",275,79735535,11942,7808,1519,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,475
2,31 / 10 / 2020,Moscow Mashuka (Full Audio): YO YO Honey Singh Feat. Neha Kakkar | Bhushan Kumar | T/Series,353,74813952,92361,5909,1246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,761
3,31 / 10 / 2020,"Mann Jaage Lyrical | Bittoo Boss | Pulkit Samrat, Amita Pathak | Raghav Sachar",247,16223579,71324,1907,678,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1285
4,31 / 10 / 2020,"Saaho: Psycho Saiyaan / REMIX | Prabhas, Shraddha K | Tanishk Bagchi, Dhvani B,Sachet T, Groovedev",288,50808844,68816,9528,611,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,345
5,30 / 10 / 2020,Song Teaser: Tere Naal | Tulsi Kumar & Darshan Raval | Bhushan Kumar | Releasing on 18 May 2020,369,65864338,97930,4637,1005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1090
6,30 / 10 / 2020,"Musik Bandh Na Karo Lyrical | Hum Tum Shabana | Tusshar Kapoor, Shreyas Talpade, Minissha Lamba",275,51304931,82311,4507,752,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,160
7,30 / 10 / 2020,"Kabootar Lyrical | BITTOO BOSS | Pulkit Samrat, Amita Pathak | Mika Singh | Raghav Sachar",230,57735467,72138,6516,866,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,311
8,30 / 10 / 2020,Hits Of Guru Randhawa | Video Jukebox | Best Of Guru Randhawa Songs | T/Series,393,42451093,21960,7352,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1092
9,29 / 10 / 2020,Saara Din Lyrical | Karan Singh Arora | Avneet Kaur | T/Series,237,28764055,81901,8549,742,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1147
10,29 / 10 / 2020,"Dil Gira Dafatan Lyrical | Delhi 6 | Abhishek Bachchan,Sonam Kapoor | A.R. Rahman |Ash King,Chinmayi",351,22414615,57347,3690,615,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1080
11,29 / 10 / 2020,"Dushmana LYRICAL | Raqeeb/ Rival In Love | Jimmy Sheirgill, Tanushree Datta |Kunal Ganjawala",357,63835547,89651,5943,577,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,991
12,29 / 10 / 2020,"AkaashVani: Bas Main Aur Tu Lyrical | Kartik Aaryan, Nushrat Bharucha |Nikhil D,Hitesh S, Luv Ranjan",381,8563799,53973,4242,934,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1269
13,28 / 10 / 2020,"Rock On (Title Track) Lyrical | Arjun Rampal, Farhan Akhtar, Prachi Desai, Purab Kohli, Koel Puri",323,31504836,18876,7855,917,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,747
14,28 / 10 / 2020,"Lyrical: You'Re My Love | Partner | Salman Khan, Lara Dutta, Govinda, Katreena Kaif |Sajid / Wajid",342,39796659,42944,4344,376,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,107
15,28 / 10 / 2020,"Maria Maria Lyrical | Partner | Salman Khan, Lara Dutta | Sonu Nigam, Sajid, Sunidhi Chauhan",377,31387065,65629,5945,889,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,682
16,28 / 10 / 2020,"Lyrical: Nagada Nagada | Jab We Met | Kareena Kapoor, Shahid Kapoor | Sonu Nigam, Javed Ali",291,75276110,29876,4280,1351,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,561
17,27 / 10 / 2020,"Lyrical: Aao Milo Chalen | Jab We Met | Shahid Kapoor, Kareena Kapoor | Shaan, Ustad Sultan Khan",262,14005659,65696,8106,722,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1061
18,27 / 10 / 2020,"Lyrical: Dupatta Tera Nau Rang Da | Partner | Salman Khan, Govinda, Katrina, Lara Dutta",345,34208604,82014,6556,299,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,378
19,27 / 10 / 2020,"Bheegi Bheegi Official Music Video | Neha Kakkar, Tony Kakkar | Prince Dubey | Bhushan Kumar",204,13846699,71549,9638,1800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,742
20,27 / 10 / 2020,"Lyrical: Aaoge Jab Tum | Jab We Met | Kareena Kapoor, Shahid Kapoor | Ustad Rashid Khan",369,14370936,93448,6525,405,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,887
21,26 / 10 / 2020,Lyrical: Qateel | Raqeeb/ Rival In Love | Sherlyn Chopra | Alisha Chinoy | T/Series,390,60731493,75522,5130,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,544
22,26 / 10 / 2020,Meri Maa Song | Jubin Nautiyal | Javed/Mohsin | Motherâ€™s Day Special Song | T/Series,350,25064503,29501,2437,1796,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1478
23,26 / 10 / 2020,"Lyrical: Audi | Bittoo Boss | Pulkit Samrat, Amita Pathak Kumaar | Raghav Sachar",271,50769428,77214,6587,744,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1146
24,26 / 10 / 2020,"Remix: Bekhayali | Kabir Singh |Shahid K,Kiara A | Arijit Singh | Sachet/Parampara | DJ Chetas",206,21474230,49237,1551,1334,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,321
25,25 / 10 / 2020,"Remix: Tujhe Kitna Chahne Lage | Kabir Singh | Mithoon, Arijit Singh | Shahid K,Kiara A | DJ Chetas",257,11652311,17915,7038,1426,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,518
26,25 / 10 / 2020,"Lyrical: Kick Lag Gayi | Bittoo Boss | Pulkit Samrat, Amita Pathak | Raghav Sachar, Tulsi Kumar",366,41994325,49236,2601,764,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,677
27,25 / 10 / 2020,"Lyrical: ""Mehki Mehki"" | Game | Abhishek Bachchan, Sarah Jane Dias | Shankar Ehsaan Loy",353,57314192,89519,9039,1813,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,837
28,25 / 10 / 2020,"Song Teaser: Bheegi Bheegi | Neha Kakkar, Tony Kakkar | Bhushan Kumar | Releasing on 11 May 2020",203,27587855,26336,8337,282,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1007
29,24 / 10 / 2020,"Lyrical: Shankeriya Shankeriya | 3 BACHELORS | Sharman Joshi, Riya Sen, Raima Sen",197,69985756,90229,1230,1490,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,874
30,24 / 10 / 2020,"Lyrical: ""Maine Kab Yeh Socha Tha"" | Game | Abhishek Bachchan, Sarah/Jane Dias",365,18212295,87096,3378,1104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,396
31,24 / 10 / 2020,"Lyrical: Channa Ve Channa | Raqeeb/ Rival In Love | Jimmy Shergill, Tanushree Datta",389,51300129,87050,6436,1857,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1111
32,24 / 10 / 2020,Dil Chahta Hai : Berklee Indian Ensemble Ft. Shankar Mahadevan | T/Series,272,41291092,79566,3494,643,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1263
33,23 / 10 / 2020,"Street Dancer 3D : Garmi Remix | Varun D, Shraddha K, Nora F | Neha K, Badshah | DJ Shadow Dubai",318,50852225,33433,9962,1023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1187
34,23 / 10 / 2020,"Lyrical: Ek Haseena Thi | Karzzzz | Himesh Reshammiya, Urmila Martondar | Shreya Ghosal",256,27454709,73553,3940,1675,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1217
35,23 / 10 / 2020,"Lyrical: Dilli/6 | Delhi 6 | Abhishek Bachchan, Sonam Kapoor | A.R. Rahman",326,57455796,69542,5005,1028,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,152
36,23 / 10 / 2020,"Lyrical : Soniye Je Tere Naal | Karzzzz | Urmila Matondkar | Himesh Reshammiya, Tulsi Kumar",231,15154698,47841,6225,522,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,909
37,22 / 10 / 2020,Satnam Waheguru | Guru Randhawa | Vee | Bhushan Kumar | T/Series,400,41707351,23053,4692,363,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,246
38,22 / 10 / 2020,O Jaanwaale Song | Akhil Sachdeva | Himanshi Khurana | Kunaal Vermaa | Bhushan Kumar,302,50106708,86866,7014,1207,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67
39,22 / 10 / 2020,YouTube / One Nation : Jubin Nautiyal | #OneNationAtHome,291,18047608,18465,9568,317,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,290
40,22 / 10 / 2020,YouTube / One Nation : Dhvani Bhanushali | #OneNationAtHome,182,37309131,62265,1523,531,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1078
41,21 / 10 / 2020,YouTube / One Nation : Tulsi Kumar | #OneNationAtHome,211,47666262,51484,6500,1998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,81
42,21 / 10 / 2020,Lyrical: Sisak Sisak Ke | Karzzzz | Himesh Reshammiya,239,77101102,46419,2001,1844,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,439
43,21 / 10 / 2020,"Lyrical: Masakali | Delhi 6 | Abhishek Bachchan, Sonam Kapoor | A.R. Rahman | Mohit Chauhan",332,63900551,53577,8640,236,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,952
44,21 / 10 / 2020,"Lyrical: Mauja Hi Mauja | Jab We Met | Shahid Kapoor, Kareena Kapoor | Mika Singh | Pritam",417,13730849,61929,4961,1881,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1383
45,20 / 10 / 2020,"Lyrical : Bewafai | Rochak Kohli Feat.Sachet Tandon, Manoj M | Mr. Faisu, Musskan S & Aadil K",351,23208925,64448,8374,1309,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,391
46,20 / 10 / 2020,A Musical Tribute to Legendary Actor Rishi Kapoor | Video Jukebox,349,72161679,31294,9899,998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1049
47,20 / 10 / 2020,A Musical Tribute to Irrfan Khan: Bollywood's Most Versatile Actor | Video Jukebox,258,19305539,91195,7142,725,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,597
48,20 / 10 / 2020,Jeetenge Hum (Video) | Dhvani Bhanushali | Lijo George & DJ Chetas | Manoj Muntashir | Bhushan Kumar,301,13243543,79688,9238,102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1115
49,19 / 10 / 2020,Lyrical : Jaane Tu Mera Kya Hai | Jaane Tu Ya Jaane Na | A.R. Rahman,216,24544151,87213,8219,1582,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,315
50,19 / 10 / 2020,"Lyrical: Jaane Kaise | Raqeeb/ Rival In Love | Rahul Khanna, Tanushree Datta | KK | Pritam",287,78983330,61143,3310,1581,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,246
51,19 / 10 / 2020,"REMIX: Malang (Title Track) | DJ YOGII | Ved Sharma | Aditya Roy Kapur, Disha Patani",259,55839502,58854,2269,1997,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,746
52,19 / 10 / 2020,"Lyrical: Kaun Kenda Hai | Bittoo Boss | Sonu Nigam, Shreya Ghoshal | Pulkit Samrat, Amita Pathak",235,57303999,82624,8983,1156,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,407
53,18 / 10 / 2020,"Lyrical : Dhoom Dham Song | 3 Bachelors | Sharman Joshi, Riya Sen, Raima Sen",308,37305237,84635,8100,570,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79
